Weather_Condition,accident_count,avg_severity
Tornado,19,2.0526315789473686
Sand,19,2.0526315789473686
Freezing Rain / Windy,18,2.111111111111111
Light Rain Shower / Windy,16,1.875
Light Sleet / Windy,15,2.1333333333333333
Mist / Windy,15,2.0
Thunder and Hail,14,1.9285714285714286
Heavy Freezing Rain,11,2.090909090909091
Thunder / Wintry Mix / Windy,10,2.1
Light Haze,10,2.2
Snow Grains,9,2.2222222222222223
Heavy Snow with Thunder,8,2.625
Patches of Fog / Windy,7,3.142857142857143
Shallow Fog / Windy,7,2.0
Heavy Thunderstorms with Small Hail,7,2.142857142857143
Heavy Rain Showers,7,2.5714285714285716
Sand / Dust Whirls Nearby,6,2.0
Light Snow Grains,6,2.5
Drifting Snow / Windy,6,2.6666666666666665
Light Snow Shower / Windy,5,2.0
Low Drifting Snow,5,2.6
Heavy Thunderstorms and Snow,5,2.8
Heavy Freezing Drizzle,5,2.0
Light Fog,4,3.0
Heavy Blowing Snow,4,2.75
Sleet and Thunder,4,2.0
Heavy Ice Pellets,4,2.75
Sand / Dust Whirlwinds / Windy,4,2.0
Duststorm,3,2.3333333333333335
Light Blowing Snow,3,3.6666666666666665
Rain Shower / Windy,3,2.0
Light Hail,3,2.3333333333333335
Light Thunderstorm,3,2.3333333333333335
Thunderstorms and Snow,3,2.3333333333333335
Heavy Rain Shower,3,2.3333333333333335
Thunder and Hail / Windy,2,2.5
Rain and Sleet,2,2.5
Snow and Thunder / Windy,2,2.5
Blowing Sand,2,2.5
Snow Showers,2,2.5
Heavy Sleet and Thunder,2,2.0
Blowing Snow Nearby,1,2.0
Sand / Windy,1,2.0
Heavy Rain Shower / Windy,1,2.0
Heavy Smoke,1,2.0
Drifting Snow,1,2.0
Heavy Freezing Rain / Windy,1,3.0
Partial Fog / Windy,1,3.0
Dust Whirls,1,2.0
Heavy Sleet / Windy,1,2.0
